abbr;name
pohobt;Pohlia obtusifolia
pohwah;Pohlia wahlenbergii
polacu;Polemonium acutiflorum
polemon;Polemonium acutiflorum
kkielo;Polygonatum odoratum
polvul;Polypodium vulgare
pollon;Polystichum lonchitis
polystlo;Polystichum lonchitis
polystlon;Polystichum lonchitis
polalp;Polytrichastrum alpinum
polsex;Polytrichastrum sexangulare
polcom;Polytrichum commune
lehtokarhu;Polytrichum formosum
polhyp;Polytrichum hyperboreum
poljun;Polytrichum juniperinum
pollng;Polytrichum longisetum
polpil;Polytrichum piliferum
polstr;Polytrichum strictum
polswa;Polytrichum swartzii
poptre;Populus tremula
potcha;Potentilla chamissonis
potcra;Potentilla crantzii
potere;Potentilla erecta
rätvänä;Potentilla erecta
potniv;Potentilla nivea
pristr;Primula stricta
niittyhum;Prunella vulgaris
prupad;Prunus padus
psepub;Pseudephebe pubescens
psecin;Pseudobryum cinclidioides
dreang;Pseudocalliergon angustifolium
dretri;Pseudocalliergon trifarium
psestr;Pseudorchis albida
valkok;Pseudorchis albida
psohyp;Psoroma hypnorum
psoten;Psoroma tenue
taigasana;Pteridium pinetorum
pticil;Ptilidium ciliare
sulkas;Ptilium crista-castrensis
ptypli;Ptychodium plicatum
keltatalvikki;Pyrola chlorantha
pyrmin;Pyrola minor
pyrrot;Pyrola rotundifolia
racspp;Racomitrium
racaci;Racomitrium aciculare
raccan;Racomitrium canescens
raceri;Racomitrium ericoides
racfas;Racomitrium fasciculare
raclan;Racomitrium lanuginosum
racmic;Racomitrium microcarpum
racsud;Racomitrium sudeticum
ranacr;Ranunculus acris
ranaur;Ranunculus auricomus
rangla;Ranunculus glacialis
ranhyp;Ranunculus hyperboreus
ranlap;Ranunculus lapponicus
ranniv;Ranunculus nivalis
ransub;Ranunculus subborealis
ranpyg;Ranunculus pygmaeus
ranrep;Ranunculus reptans
ransul;Ranunculus sulphureus
himin;Rhinanthus minor
rhigro;Rhinanthus groenlandicus
rhimin;Rhinanthus minor
rhomin;Rhinanthus minor
rhispp;Rhizocarpon
rhipse;Rhizomnium
rhimag;Rhizomnium magnifolium
rhipun;Rhizomnium punctatum
rhoros;Rhodiola rosea
rhorsm;Rhodobryum roseum
rholap;Rhododendron lapponicum
rhopal;Rhododendron tomentosum
rhotom;Rhododendron tomentosum
niittylieko;Rhytidiadelphus squarrosus
rhytri;Rhytidiadelphus triquetrus
rhyrug;Rhytidium rugosum
taikina;Ribes alpinum
ribrub;Ribes spicatum
rubrib;Ribes spicatum
ribspi;Ribes spicatum
rubarc;Rubus arcticus
rubcha;Rubus chamaemorus
rubida;Rubus idaeus
rubsax;Rubus saxatilis
rumace;Rumex acetosa
rumacel;Rumex acetosella
minstr;Sabulina stricta
sagniv;Sagina nivalis
sagsag;Sagina saginoides
salarb;Salix arbuscula
salcap;Salix caprea
salgla;Salix glauca
salhas;Salix hastata
salher;Salix herbacea
sallan;Salix lanata
sallap;Salix lapponum
salmfm;Salix myrsinifolia
salmrf;Salix myrsinifolia
salmrn;Salix myrsinites
salmyt;Salix myrsinites
salmrl;Salix myrtilloides
salmyd;Salix myrtilloides
salphy;Salix phylicifolia
salpol;Salix polaris
salret;Salix reticulata
salsta;Salix starkeana
sanniv;Sanionia nivalis
sanunc;Sanionia uncinata
sarexa;Sarmentypnum exannulatum
sarsar;Sarmentypnum sarmentosum
saualp;Saussurea alpina
saxaiz;Saxifraga aizoides
saxcer;Saxifraga cernua
saxces;Saxifraga cespitosa
follariparatiisi;Saxifraga foliolosa
saxhir;Saxifraga hirculus
saxopp;Saxifraga oppositifolia
saxriv;Saxifraga rivularis
leväkkö;Scheuchzeria palustris
schpal;Scheuchzeria palustris
sciplu;Sciuro-hypnum plumosum
sciref;Sciuro-hypnum reflexum
viherjäsen;Scleranthus annuus
scocos;Scorpidium cossonii
scorev;Scorpidium revolvens
scosco;Scorpidium scorpioides
autumn;Scorzoneroides autumnalis
leoaut;Scorzoneroides autumnalis
leotar;Scorzoneroides autumnalis
sedacr;Sedum acre
sedann;Sedum annuum
selsel;Selaginella selaginoides
sibpro;Sibbaldia procumbens
silaca;Silene acaulis
sildio;Silene dioica
lychal;Silene suecica
visalp;Silene suecica
siluni;Silene uniflora
silwah;Silene uralensis
sipcer;Siphula ceratites
solvir;Solidago virgaurea
solbis;Solorina bispora
solcro;Solorina crocea
solspo;Solorina spongiosa
sorauc;Sorbus aucuparia
spahyp;Sparganium hyperboreum
sphfra;Sphaerophorus fragilis
sphglo;Sphaerophorus globosus
sphspp;Sphagnum
sphcap;Sphagnum capillifolium
sphcom;Sphagnum compactum
sphfim;Sphagnum fimbriatum
sphfus;Sphagnum fuscum
sphgir;Sphagnum girgensohnii
sphlin;Sphagnum lindbergii
sphmag;Sphagnum magellanicum
sphmol;Sphagnum molle
sphpap;Sphagnum papillosum
sphrub;Sphagnum rubellum
sphrus;Sphagnum russowii
sphsqu;Sphagnum squarrosum
sphsub;Sphagnum subfulvum
sphten;Sphagnum tenellum
sphter;Sphagnum teres
sphwar;Sphagnum warnstorfii
lycalp;Spinulum annotinum
lycann;Spinulum annotinum
spllut;Splachnum luteum
splsph;Splachnum sphaericum
lehtopähk;Stachys sylvatica
lpähkämö;Stachys sylvatica
stebor;Stellaria borealis
stecra;Stellaria crassifolia
stemed;Stellaria media
stenem;Stellaria nemorum
stespp;Stereocaulon
stealp;Stereocaulon alpinum
stebot;Stereocaulon botryosum
stecum;Stereocaulon cumulatum
stedep;Stereocaulon depressum
stegra;Stereocaulon grande
stepas;Stereocaulon paschale
steriv;Stereocaulon rivulorum
stesym;Stereocaulon symphycheilum
stetom;Stereocaulon tomentosum
steves;Stereocaulon vesuvianum
strstr;Straminergon stramineum
taraxa;Taraxacum
tarsp;Taraxacum
taylin;Tayloria lingulata
tetmni;Tetraplodon mnioides
thaalp;Thalictrum alpinum
thamin;Thalictrum minus
thaver;Thamnolia vermicularis
peupal;Thysselinum palustre
lehmus;Tilia cordata
karhunruoho;Tofieldia pusilla
tofpus;Tofieldia pusilla
tomnit;Tomentypnum nitens
trialp;Trichophorum alpinum
trices;Trichophorum cespitosum
kapila;Trifolium aureum
valkoapila;Trifolium repens
suolak;Triglochin palustris
suolake;Triglochin palustris
suolakko;Triglochin palustris
tripal;Triglochin palustris
trispi;Trisetum spicatum
troeur;Trollius europaeus
tusfar;Tussilago farfara
jalava;Ulmus glabra
urtdio;Urtica dioica
vacmic;Vaccinium microcarpum
vacmyr;Vaccinium myrtillus
vaculi;Vaccinium uliginosum
vacvit;Vaccinium vitis-idaea
virmaj;Valeriana
virmajuuri;Valeriana
warflu;Warnstorfia fluitans
warpse;Warnstorfia pseudostraminea
tulikukka;Verbascum thapsus
veralp;Veronica alpina
verfru;Veronica fruticans
verlon;Veronica longifolia
veroff;Veronica officinalis
viccra;Vicia cracca
viobif;Viola biflora
viocan;Viola canina
vioepi;Viola epipsila
lehtoorv;Viola mirabilis
sorvokki;Viola palustris
viopal;Viola palustris
viorup;Viola rupestris subsp. relicta
kyy;Vipera berus
mäkiter;Viscaria vulgaris
wooalp;Woodsia alpina
woogla;Woodsia glabella
wooilv;Woodsia ilvensis
aloova;Alopecurus ovatus
antodo;Anthoxanthum odoratum
armbor;Artemisia borealis
armmar;Armeria maritima
artbor;Artemisia borealis
betn;Betula nana
bis;Bistorta vivipara
calneg;Calamagrostis neglecta
carnym;Cardamine nymanii
cerarc;Cerastium arcticum
